CASENUM,VEH_NO,TRAILER_NO,VehicleDescriptor,VINDecodedOn,VINDecodeError,VehicleTypeId,VehicleType,ManufacturerFullNameId,ManufacturerFullName,MakeId,Make,ModelId,Model,ModelYear,Series,Trim,PlantCountryId,PlantCountry,PlantState,PlantCity,PlantCompanyName,Note,BodyClassId,BodyClass,GrossVehicleWeightRatingFromId,GrossVehicleWeightRatingFrom,GrossVehicleWeightRatingToId,GrossVehicleWeightRatingTo,TrailerBodyTypeId,TrailerBodyType,TrailerTypeConnectionId,TrailerTypeConnection,TrailerLengthFT,OtherTrailerInfo,AxlesCount,AxleConfigurationId,AxleConfiguration
202103357463,2,1,1DW1A532*HS******,2022-07-10 03:16:04,0,6,TRAILER,13506,"STOUGHTON TRAILERS, INC.",3414,STOUGHTON TRAILERS,7701,Stoughton trailers,2017,,,6,UNITED STATES (USA),WISCONSIN,STOUGHTON,"Stoughton Trailers, INC",,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202103363422,2,1,1DW1A482*DS******,2022-07-10 03:16:04,0,6,TRAILER,13506,"STOUGHTON TRAILERS, INC.",3414,STOUGHTON TRAILERS,7701,Stoughton trailers,2013,,,6,UNITED STATES (USA),WISCONSIN,STOUGHTON,"Stoughton Trailers, INC",,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,48.000,,2,,
202103367518,2,1,4YPAB212*2T******,2022-07-10 03:16:04,0,6,TRAILER,8570,"LOADMASTER ALUMINUM BOAT TRAILERS, INC",8491,"LOADMASTER ALUMINUM BOAT TRAILERS, INC",22424,"LoadMaster Aluminum Boat Trailers, Inc",2002,,,6,UNITED STATES (USA),FLORIDA,TAMPA,,,61,Trailer,,,,,2,Boat Trailer,,,21.000,Aluminum,2,,
202103369129,1,1,1RNF48A2*7R******,2022-07-10 03:16:04,0,6,TRAILER,3579,"REITNOUER, INC.",5594,REITNOUER INC,14493,Reitnouer Inc Trailers,2007,,,6,UNITED STATES (USA),PENNSYLVANIA,READING,,,61,Trailer,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,48.000,Airride,2,,
202103369129,2,1,4P5B6242*L1******,2022-07-10 03:16:04,0,6,TRAILER,16013,"PJ TRAILERS MANUFACTURING, INC.",6060,PJ,28324,PJ,2020,,,6,UNITED STATES (USA),TEXAS,SUMNER,,,61,Trailer,,,,,101,Other,30,Other,24.000,Variable HITCH based on Size/Type of Trailer,2,,
202103371228,1,1,3H3V532C*6T******,2022-07-10 03:16:04,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2006,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
202103371637,1,1,527SR532*GM******,2022-07-10 03:16:04,0,6,TRAILER,6703,CIMC REEFER TRAILER INC.,1561,"CIMC REEFER TRAILER,INC",4978,"CIMC REEFER TRAILER,INC.",2016,,,6,UNITED STATES (USA),INDIANA,MONON,"CIMC Reefer Trailer,Inc",,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,Trailer Body Type: Reefer Van Trailer,2,,
202103371637,2,1,1JJV532D*HL******,2022-07-10 03:16:04,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,10942,Dry Van Duraplate,2017,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
202103372013,1,1,1JJV532W*3L******,2022-07-12 00:43:42,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,13327,Wabash National Corporation,2003,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
202103378494,3,1,1GRAA141*GB******,2022-07-10 03:16:04,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2016,,,6,UNITED STATES (USA),INDIANA,BRAZIL,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,57.000,Dry Freight Van / Reefer Van / Insulated Van,1,,
